item_nbr,family,class,perishable,Price
121964,AUTOMOTIVE,6810.0,False,38.6
172995,AUTOMOTIVE,6824.0,False,56.23
270522,AUTOMOTIVE,6806.0,False,69.53
312317,AUTOMOTIVE,6810.0,False,95.41
461432,AUTOMOTIVE,6810.0,False,79.51
511394,AUTOMOTIVE,6810.0,False,50.49
1009512,AUTOMOTIVE,6810.0,False,30.94
1049595,AUTOMOTIVE,6824.0,False,16.85
1085148,AUTOMOTIVE,6806.0,False,35.05
1085150,AUTOMOTIVE,6806.0,False,61.6
1085486,AUTOMOTIVE,6810.0,False,43.94
1118683,AUTOMOTIVE,6806.0,False,39.15
1147731,AUTOMOTIVE,6806.0,False,54.47
1903428,AUTOMOTIVE,6808.0,False,81.8
1903432,AUTOMOTIVE,6808.0,False,81.02
1969477,AUTOMOTIVE,6848.0,False,63.87
1969485,AUTOMOTIVE,6848.0,False,73.18
1969863,AUTOMOTIVE,6848.0,False,75.9
1969899,AUTOMOTIVE,6848.0,False,17.81
1970094,AUTOMOTIVE,6848.0,False,91.28
1490588,BABY CARE,6022.0,False,11.23
617763,BEAUTY,4222.0,False,9.36
673496,BEAUTY,4214.0,False,17.63
716958,BEAUTY,4254.0,False,5.08
958514,BEAUTY,4252.0,False,16.33
1158705,BEAUTY,4252.0,False,3.02
1253708,BEAUTY,4250.0,False,2.22
1449487,BEAUTY,4254.0,False,18.41
1471956,BEAUTY,4252.0,False,5.4
1911336,BEAUTY,4210.0,False,5.91
1935388,BEAUTY,4255.0,False,15.21
1935465,BEAUTY,4212.0,False,7.5
1965358,BEAUTY,4228.0,False,19.44
2089789,BEAUTY,4254.0,False,11.61
2090125,BEAUTY,4214.0,False,8.8
2091318,BEAUTY,4252.0,False,18.17
2099230,BEAUTY,4252.0,False,4.02
2101795,BEAUTY,4222.0,False,17.98
2103250,BEAUTY,4254.0,False,13.97
2105347,BEAUTY,4254.0,False,14.03
119624,BEVERAGES,1122.0,False,3.97
165550,BEVERAGES,1124.0,False,3.51
165551,BEVERAGES,1124.0,False,9.89
165553,BEVERAGES,1124.0,False,1.37
174081,BEVERAGES,1136.0,False,2.98
219147,BEVERAGES,1122.0,False,10.51
219150,BEVERAGES,1122.0,False,9.99
219152,BEVERAGES,1122.0,False,4.73
257847,BEVERAGES,1120.0,False,2.03
257848,BEVERAGES,1120.0,False,7.75
265086,BEVERAGES,1124.0,False,1.33
269029,BEVERAGES,1122.0,False,4.84
269036,BEVERAGES,1122.0,False,2.14
308085,BEVERAGES,1124.0,False,4.89
315176,BEVERAGES,1124.0,False,9.83
315178,BEVERAGES,1124.0,False,9.18
315179,BEVERAGES,1124.0,False,8.06
315180,BEVERAGES,1124.0,False,9.96
319272,BEVERAGES,1122.0,False,3.82
364738,BEVERAGES,1124.0,False,10.98
368624,BEVERAGES,1122.0,False,8.38
368628,BEVERAGES,1122.0,False,5.44
414305,BEVERAGES,1124.0,False,10.6
418235,BEVERAGES,1122.0,False,6.18
418238,BEVERAGES,1122.0,False,4.16
464374,BEVERAGES,1124.0,False,1.0
468265,BEVERAGES,1122.0,False,2.65
514172,BEVERAGES,1124.0,False,4.69
518091,BEVERAGES,1122.0,False,8.73
518094,BEVERAGES,1122.0,False,1.19
556698,BEVERAGES,1120.0,False,5.88
563966,BEVERAGES,1124.0,False,9.3
568133,BEVERAGES,1122.0,False,5.09
671039,BEVERAGES,1122.0,False,3.38
679442,BEVERAGES,1120.0,False,10.05
686034,BEVERAGES,1122.0,False,9.18
686035,BEVERAGES,1122.0,False,6.2
716250,BEVERAGES,1120.0,False,1.68
730258,BEVERAGES,1122.0,False,10.45
730259,BEVERAGES,1122.0,False,1.11
759697,BEVERAGES,1124.0,False,8.44
759698,BEVERAGES,1124.0,False,9.07
770463,BEVERAGES,1120.0,False,4.63
804932,BEVERAGES,1122.0,False,5.09
805310,BEVERAGES,1122.0,False,4.12
805311,BEVERAGES,1122.0,False,4.88
807493,BEVERAGES,1124.0,False,7.67
807495,BEVERAGES,1124.0,False,8.22
819932,BEVERAGES,1122.0,False,5.05
819933,BEVERAGES,1122.0,False,6.96
819934,BEVERAGES,1122.0,False,10.57
821186,BEVERAGES,1124.0,False,4.97
839362,BEVERAGES,1124.0,False,5.39
839363,BEVERAGES,1124.0,False,3.3
839364,BEVERAGES,1124.0,False,3.91
839367,BEVERAGES,1124.0,False,2.88
847859,BEVERAGES,1122.0,False,10.29
871421,BEVERAGES,1124.0,False,7.39
884878,BEVERAGES,1124.0,False,10.01
886067,BEVERAGES,1120.0,False,7.9
903955,BEVERAGES,1122.0,False,2.1
906979,BEVERAGES,1120.0,False,5.89
906980,BEVERAGES,1120.0,False,3.28
906981,BEVERAGES,1120.0,False,1.59
907684,BEVERAGES,1120.0,False,8.03
907686,BEVERAGES,1120.0,False,9.09
913102,BEVERAGES,1124.0,False,10.35
915980,BEVERAGES,1122.0,False,10.93
938657,BEVERAGES,1136.0,False,10.55
